fold,model,mse
0,P2_Persistent,15.936568837453123
0,P2_KNN,11.5873407098536
0,P2_LR,8.575264279594823
0,P2_SVR,9.921859544256613
0,P2_Bagging,9.892486881607581
1,P2_Persistent,13.878655429404102
1,P2_KNN,14.177433949561404
1,P2_LR,17.27239472860624
1,P2_SVR,8.316584995022007
1,P2_Bagging,6.667158530047843
2,P2_Persistent,11.716300622109376
2,P2_KNN,9.855317741459066
2,P2_LR,5.803632030533626
2,P2_SVR,5.608599765224495
2,P2_Bagging,5.5526822411023815
3,P2_Persistent,11.878456858171873
3,P2_KNN,10.775202911142191
3,P2_LR,9.62019307769352
3,P2_SVR,6.925169413239175
3,P2_Bagging,6.474033118708938
4,P2_Persistent,14.661121528828122
4,P2_KNN,11.344341644849525
4,P2_LR,1199.2998736593177
4,P2_SVR,8.020409526515373
4,P2_Bagging,7.099145065864074
5,P2_Persistent,13.576433346984373
5,P2_KNN,8.903380652765156
5,P2_LR,6.453103500977647
5,P2_SVR,7.654734258233409
5,P2_Bagging,5.572072818630808
6,P2_Persistent,10.823332153781255
6,P2_KNN,9.376001209057495
6,P2_LR,19.740281106732834
6,P2_SVR,6.421761101937593
6,P2_Bagging,5.299381561253378
7,P2_Persistent,11.236298192859374
7,P2_KNN,9.257561315808754
7,P2_LR,6.262928526912825
7,P2_SVR,8.255253836649768
7,P2_Bagging,5.058431149453409
8,P2_Persistent,15.034411793243638
8,P2_KNN,12.983467102740002
8,P2_LR,11.801815269414487
8,P2_SVR,8.980860532200182
8,P2_Bagging,8.294068109115724
9,P2_Persistent,12.078720836966204
9,P2_KNN,10.761003532006884
9,P2_LR,10.849800973673139
9,P2_SVR,9.304604767394634
9,P2_Bagging,6.7743614038266085
10,P2_Persistent,11.618804740640622
10,P2_KNN,9.577255022143591
10,P2_LR,7.317973110542854
10,P2_SVR,9.455470254555646
10,P2_Bagging,6.549408461828958
11,P2_Persistent,14.561770993007315
11,P2_KNN,8.881260445850621
11,P2_LR,6.539472511601739
11,P2_SVR,7.396635002516588
11,P2_Bagging,6.126460438470032
12,P2_Persistent,15.359648180624998
12,P2_KNN,10.308496701979681
12,P2_LR,7.926444430190624
12,P2_SVR,8.535885153218128
12,P2_Bagging,5.953926736406491
13,P2_Persistent,9.862588308515623
13,P2_KNN,9.92351935050047
13,P2_LR,6.992862714296834
13,P2_SVR,7.95573819943688
13,P2_Bagging,6.720762236145123
14,P2_Persistent,13.088521361390624
14,P2_KNN,10.234344480662807
14,P2_LR,373.395818656414
14,P2_SVR,7.7758486114439
14,P2_Bagging,6.1945248983125065
15,P2_Persistent,10.848357466031247
15,P2_KNN,11.812301860692656
15,P2_LR,5.717649841955172
15,P2_SVR,9.948660162435965
15,P2_Bagging,5.742737350435121
16,P2_Persistent,12.73396618954688
16,P2_KNN,8.681758995466401
16,P2_LR,5.829337666876619
16,P2_SVR,8.287688198161884
16,P2_Bagging,4.90176923605398
17,P2_Persistent,14.941483640266387
17,P2_KNN,12.682783325434222
17,P2_LR,10.192883122894088
17,P2_SVR,7.939636548858286
17,P2_Bagging,6.188354473117659
18,P2_Persistent,9.266042707087317
18,P2_KNN,8.736039011380777
18,P2_LR,373.40964223415097
18,P2_SVR,7.755220333290849
18,P2_Bagging,5.732177753680324
19,P2_Persistent,12.686199825093752
19,P2_KNN,11.347082072011407
19,P2_LR,7.444857242964363
19,P2_SVR,8.70379879054715
19,P2_Bagging,6.06540223269157
